"declaration","file","line","mathematical_statement","assumptions","correspondence","dependencies","build_status"
"OBS.MatchedSubdivision.residue_ne_zero","OBS/MatchedSubdivision/Response.lean","49","theorem residue_ne_zero {p q α : ℝ} (hp : 0 < p) : residue p q α ≠ ⟨0, 0, 0, 0⟩","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.subdivision_response_difference","OBS/MatchedSubdivision/Response.lean","62","theorem subdivision_response_difference {z p q s α : ℝ} (hzs : z + s ≠ 0) (hα0 : α ≠ 0) (hα1 : 1 - α ≠ 0) : subdivisionResponse z (p / α) ((1 - α) * s) (α * s) (q / (1 - α)) s = Mat2.add (edgeResponse p q) (defectResponse z s p q α)","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.defectResponse_zero","OBS/MatchedSubdivision/Response.lean","73","@[simp] theorem defectResponse_zero (s p q α : ℝ) : defectResponse 0 s p q α = ⟨0, 0, 0, 0⟩","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.defectScale_hasDerivAt_zero","OBS/MatchedSubdivision/Response.lean","78","theorem defectScale_hasDerivAt_zero {s : ℝ} (hs : s ≠ 0) : HasDerivAt (fun z : ℝ => defectScale z s) (1 / s) 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.subdivision_firstMoment_a01","OBS/MatchedSubdivision/Response.lean","88","theorem subdivision_firstMoment_a01 {s p q α : ℝ} (hs : s ≠ 0) : HasDerivAt (fun z : ℝ => (defectResponse z s p q α).a01) (p / s) 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.subdivision_firstMoment","OBS/MatchedSubdivision/Response.lean","96","theorem subdivision_firstMoment {s p q α : ℝ} (hs : s ≠ 0) : HasDerivAt (fun z : ℝ => (defectResponse z s p q α).a00) ((residue p q α).a00 / s) 0 ∧ HasDerivAt (fun z : ℝ => (defectResponse z s p q α).a01) ((residue p q α).a01 / s) 0 ∧ HasDerivAt (fun z : ℝ => (defectResponse z s p q α).a10) ((residue p q α).a10 / s) 0 ∧ HasDerivAt (fun z : ℝ => (defectResponse z s p q α).a11) ((residue p q α).a11 / s) 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.subdivision_firstMoment_ne_zero","OBS/MatchedSubdivision/Response.lean","125","theorem subdivision_firstMoment_ne_zero {s p : ℝ} (hs : 0 < s) (hp : 0 < p) : p / s ≠ 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.no_finite_firstMoment_preservation","OBS/MatchedSubdivision/Response.lean","130","theorem no_finite_firstMoment_preservation {s p q α : ℝ} (hs : 0 < s) (hp : 0 < p) : ∃ d : ℝ, HasDerivAt (fun z : ℝ => (defectResponse z s p q α).a01) d 0 ∧ d ≠ 0","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.defectScale_denominator_ne_zero_iff","OBS/MatchedSubdivision/Response.lean","138","theorem defectScale_denominator_ne_zero_iff {z s : ℝ} : z + s ≠ 0 ↔ z ≠ -s","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact singular location; no RatFunc pole-order claim","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.subdivision_current_first","OBS/MatchedSubdivision/Stationary.lean","15","theorem subdivision_current_first { πu πv p q α s : ℝ} (hs : s ≠ 0) (hα0 : α ≠ 0) (hα1 : 1 - α ≠ 0) : πu * (p / α) - insertedMass πu πv p q α s * ((1 - α) * s) = stationaryCurrent πu πv p q","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.subdivision_current_second","OBS/MatchedSubdivision/Stationary.lean","25","theorem subdivision_current_second {πu πv p q α s : ℝ} (hs : s ≠ 0) (hα0 : α ≠ 0) (hα1 : 1 - α ≠ 0) : insertedMass πu πv p q α s * (α * s) - πv * (q / (1 - α)) = stationaryCurrent πu πv p q","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.insertedMass_balance","OBS/MatchedSubdivision/Stationary.lean","35","theorem insertedMass_balance {πu πv p q α s : ℝ} (hs : s ≠ 0) (hα0 : α ≠ 0) (hα1 : 1 - α ≠ 0) : insertedMass πu πv p q α s * s = πu * (p / α) + πv * (q / (1 - α))","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.matched_path_rate_ratio","OBS/MatchedSubdivision/Stationary.lean","44","theorem matched_path_rate_ratio {p q α s : ℝ} (hp : p ≠ 0) (hq : q ≠ 0) (hs : s ≠ 0) (hα0 : α ≠ 0) (hα1 : 1 - α ≠ 0) : ((p / α) * (α * s)) / (((1 - α) * s) * (q / (1 - α))) = p / q","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.subdivision_affinity_preserved","OBS/MatchedSubdivision/Stationary.lean","52","theorem subdivision_affinity_preserved {p q α s : ℝ} (hp : p ≠ 0) (hq : q ≠ 0) (hs : s ≠ 0) (hα0 : α ≠ 0) (hα1 : 1 - α ≠ 0) : Real.log (((p / α) * (α * s)) / (((1 - α) * s) * (q / (1 - α)))) = Real.log (p / q)","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.subdivision_entropy_preserved","OBS/MatchedSubdivision/Stationary.lean","61","theorem subdivision_entropy_preserved {J p q α s : ℝ} (hp : p ≠ 0) (hq : q ≠ 0) (hs : s ≠ 0) (hα0 : α ≠ 0) (hα1 : 1 - α ≠ 0) : J * Real.log (((p / α) * (α * s)) / (((1 - α) * s) * (q / (1 - α)))) = J * Real.log (p / q)","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.subdivision_stationary_preservation","OBS/MatchedSubdivision/Stationary.lean","70","theorem subdivision_stationary_preservation {πu πv p q α s : ℝ} (hp : 0 < p) (hq : 0 < q) (hs : 0 < s) (hα0 : 0 < α) (hαlt : α < 1) : πu * (p / α) - insertedMass πu πv p q α s * ((1 - α) * s) = stationaryCurrent πu πv p q ∧ insertedMass πu πv p q α s * (α * s) - πv * (q / (1 - α)) = stationaryCurrent πu πv p q ∧ Real.log (((p / α) * (α * s)) / (((1 - α) * s) * (q / (1 - α)))) = Real.log (p / q) ∧ stationaryCurrent πu πv p q * Real.log (((p / α) * (α * s)) / (((1 - α) * s) * (q / (1 - α)))) = stationaryCurrent πu πv p q * Real.log (p / q)","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact bundled identities, valid for arbitrary endpoint weights","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.insertedMass_numerator_pos","OBS/MatchedSubdivision/Stationary.lean","92","theorem insertedMass_numerator_pos {πu πv p q α : ℝ} (hπu : 0 < πu) (hπv : 0 < πv) (hp : 0 < p) (hq : 0 < q) (hα0 : 0 < α) (hαlt : α < 1) : 0 < πu * p / α + πv * q / (1 - α)","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.arbitrary_positive_insertedMass","OBS/MatchedSubdivision/Stationary.lean","103","theorem arbitrary_positive_insertedMass {πu πv p q α m : ℝ} (hπu : 0 < πu) (hπv : 0 < πv) (hp : 0 < p) (hq : 0 < q) (hα0 : 0 < α) (hαlt : α < 1) (hm : 0 < m) : ∃! s : ℝ, 0 < s ∧ insertedMass πu πv p q α s = m","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.subdivision_normalized_total_mass","OBS/MatchedSubdivision/Stationary.lean","126","theorem subdivision_normalized_total_mass {m : ℝ} (hm : 0 < m) : 1 / (1 + m) + m / (1 + m) = 1","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.MatchedSubdivision.subdivision_normalized_flux_scaling","OBS/MatchedSubdivision/Stationary.lean","132","theorem subdivision_normalized_flux_scaling {π k m : ℝ} : (π / (1 + m)) * k = (π * k) / (1 + m)","All typed hypotheses are explicit in the signature; no hidden project axioms","Exact matched-subdivision identity in the stated positive/nonzero domain","Imported project modules and pinned Mathlib v4.29.0","PASS — clean project build, Lean 4.29.0"
"OBS.CoreBranch.BidirectionalRowMarkovData","OBS/CoreBranch/ConcreteEdgeData.lean","20","Finite row-Markov data with bidirectional positivity on positive-traffic support","Fintype state space; RowMarkovData; positive reverse flows whenever traffic is positive","G-001 concrete generator and ordered support","MarkovData; FiniteWeighted","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.BidirectionalRowMarkovData.two_C_lt_sigma_of_backward_eigenmode","OBS/CoreBranch/ConcreteEntropy.lean","124","A nonreal nonzero backward eigenmode satisfies 2*C < sigma","Backward eigen-equations; nonzero coordinate; b != 0","G-002 strict thermodynamic bridge","ConcreteEdgeData; EntropyCurrent","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.BidirectionalRowMarkovData.concrete_B_cauchy_representation","OBS/CoreBranch/ConcreteCauchy.lean","113","The explicit weighted Cauchy dot product equals mode coupling B","Concrete bidirectional generator and mode coordinates","G-003 exact B representation","ConcreteEdgeData; WeightedCauchy","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.BidirectionalRowMarkovData.concrete_D_cauchy_representation","OBS/CoreBranch/ConcreteCauchy.lean","171","The explicit weighted first norm equals dissipation D","Concrete bidirectional generator and mode coordinates","G-003 exact D representation","ConcreteEdgeData; WeightedCauchy","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.BidirectionalRowMarkovData.concrete_K_cauchy_representation","OBS/CoreBranch/ConcreteCauchy.lean","209","The explicit reciprocal-weight second norm equals K","Concrete bidirectional generator and mode coordinates","G-003 exact K representation","ConcreteEdgeData; WeightedCauchy","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.BidirectionalRowMarkovData.concrete_B_sq_le_DK","OBS/CoreBranch/ConcreteCauchy.lean","223","B^2 <= D*K","Concrete bidirectional generator and mode coordinates","G-003 weighted Cauchy bridge","Concrete Cauchy representations","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.BidirectionalRowMarkovData.concrete_K_lt_H_of_B_ne_zero","OBS/CoreBranch/ConcretePhase.lean","126","B != 0 implies K < H","Concrete bidirectional generator and mode coordinates; B != 0","G-004 strict phase deficit","ConcreteCauchy; PhaseDeficit","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.BidirectionalRowMarkovData.concrete_B_sq_lt_DH_of_B_ne_zero","OBS/CoreBranch/ConcretePhase.lean","139","B != 0 implies B^2 < D*H","Concrete bidirectional generator and mode coordinates; B != 0","G-004 strict phase/Cauchy bridge","concrete_B_sq_le_DK; concrete_K_lt_H_of_B_ne_zero","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.BidirectionalRowMarkovData.H_le_M_mul_C","OBS/CoreBranch/ConcreteLocalization.lean","23","H <= M*C","Concrete bidirectional generator and mode coordinates","G-005 localization bridge","ConcreteEdgeData; FiniteWeighted","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.BidirectionalRowMarkovData.etaCur_eq_eta_iff_endpoint_max_all_pairs'","OBS/CoreBranch/ConcreteLocalization.lean","118","etaCur = eta iff both endpoints of every nonzero-current ordered pair have maximal amplitude","Positive N H M","G-005 exact equality characterization","H_le_M_mul_C; FiniteWeighted","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.BidirectionalRowMarkovData.generatorCoreCertificates","OBS/CoreBranch/GeneratorThreeFactor.lean","34","Derives all positivity, strict bridge, localization, and eigenmode certificates","Backward eigen-equations; nonzero coordinate; b != 0","Closed internal certificate bundle","ConcreteEntropy; ConcreteCauchy; ConcretePhase; ConcreteLocalization","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.BidirectionalRowMarkovData.rowMarkov_currentWeighted_threeFactor_closed","OBS/CoreBranch/GeneratorThreeFactor.lean","87","Exact three-factor identity with tau > 1, kappa > 1, eta <= etaCur < Y","Backward eigen-equations; nonzero coordinate; b != 0","Closed generator-level core theorem","generatorCoreCertificates; ThreeFactorCore","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.BidirectionalRowMarkovData.rowMarkov_Y_eq_tau_mul_kappa_mul_etaCur","OBS/CoreBranch/GeneratorThreeFactor.lean","109","Y = tau*kappa*etaCur","Backward eigen-equations; nonzero coordinate; b != 0","Paper-facing factor identity","rowMarkov_currentWeighted_threeFactor_closed","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.BidirectionalRowMarkovData.rowMarkov_Y_gt_etaCur_ge_eta","OBS/CoreBranch/GeneratorThreeFactor.lean","123","etaCur < Y and eta <= etaCur","Backward eigen-equations; nonzero coordinate; b != 0","Paper-facing strict/refined bound","rowMarkov_currentWeighted_threeFactor_closed","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.BidirectionalRowMarkovData.rowMarkov_paperCore","OBS/CoreBranch/GeneratorThreeFactor.lean","139","Y = tau*kappa*etaCur with tau > 1, kappa > 1, eta <= etaCur < Y","Backward eigen-equations; nonzero coordinate; b != 0","Bundled manuscript core statement","rowMarkov_currentWeighted_threeFactor_closed","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.BidirectionalRowMarkovData.rowMarkov_etaCur_eq_eta_iff","OBS/CoreBranch/GeneratorThreeFactor.lean","158","etaCur = eta iff endpoints of every nonzero-current pair have maximal amplitude","Backward eigen-equations; nonzero coordinate; b != 0","Generator-level exact localization equality case","generatorCoreCertificates; ConcreteLocalization","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.RegressionExamples.reversible_sparse_B_eq_zero","OBS/CoreBranch/RegressionExamples.lean","71","The sparse reversible three-state chain has B = 0","Arbitrary real mode coordinates","Regression: reversible zero-current limit","ConcreteEdgeData","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.RegressionExamples.sparse_absent_edge","OBS/CoreBranch/RegressionExamples.lean","90","The absent 0-to-2 edge has zero traffic","None","Regression: sparse bidirectional support","ConcreteEdgeData","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.RegressionExamples.current_nonzero_but_phase_and_difference_zero","OBS/CoreBranch/RegressionExamples.lean","120","A nonzero current pair can have zero phase and difference contribution","None","Regression: strictness mechanism edge case","ConcretePhase","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.RegressionExamples.synthetic_localization_saturation","OBS/CoreBranch/RegressionExamples.lean","128","A synthetic amplitude profile saturates the localization equality condition","None","Regression: localization equality","ConcreteLocalization","PASS — clean project build, Lean 4.29.0, 8275 jobs"
"OBS.CoreBranch.RegressionExamples.three_state_ordered_half_conversion","OBS/CoreBranch/RegressionExamples.lean","138","One-half of the ordered directed cost equals the once-per-edge total","None","Regression: ordered-pair factor conversion","ConcreteEdgeData","PASS — clean project build, Lean 4.29.0, 8275 jobs"
